pid,model,price,country_code,country,region,income group,scraped_date
5,AirPods(2. generace),3 790 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
6,Apple TV HD,4 190 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
7,Apple TV 4K,4 990 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
8,Apple Watch SE,Od 7 990 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
9,Apple Watch Series 3,Od 5 490 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
10,Sportovní řemínek,1 290 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
11,iPad,Od 9 990 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
12,iPad Pro,Od 22 990 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
13,Apple Pencil (2. generace),3 490 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
14,24palcový iMac²,Od 37 990 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
15,MacBook Air,Od 29 990 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
16,Magic Mouse,2 290 Kč,cz,Czech Republic,Europe & Central Asia,High income,2022-01-02 21:52:12.701576
0,iPhone 13,Ab 799 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
1,iPhone SE,Ab 479 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
2,iPhone 12,Ab 679 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
3,AirPods(3. Generation),199 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
4,AirPods Pro,279 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
5,AirPods(2. Generation),149 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
6,AirPods Max,"612,70 €",de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
7,Apple TV 4K,199 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
8,Apple Watch SE,Ab 299 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
9,Apple Watch Series 3,Ab 219 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
10,Sportarmband,49 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
11,iPad,Ab 379 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
12,iPad Pro,Ab 879 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
13,Apple Pencil (2. Generation),135 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
14,"24"" iMac²",Ab 1.449 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
15,MacBook Air,Ab 1.129 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
16,Magic Mouse,85 €,de,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932
0,iPhone 13,Fra 6.255 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
1,iPhone SE,Fra 3.655 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
2,iPhone 12,Fra 5.355 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
3,AirPods(3. generation),1.549 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
4,AirPods Pro,2.199 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
5,AirPods(2. generation),1.129 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
6,Apple TV HD,1.299 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
7,Apple TV 4K,1.499 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
8,Apple Watch SE,Fra 2.299 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
9,Apple Watch Series 3,Fra 1.699 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
10,Sportsrem,369 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
11,iPad,Fra 2.855 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
12,iPad Pro,Fra 6.755 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
13,Apple Pencil (2. generation),1.099 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
14,"24"" iMac²",Fra 11.555 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
15,MacBook Air,Fra 8.755 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
16,Magic Mouse,679 kr.,dk,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080
0,iPhone 13 Pro,Desde 1.159 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
1,iPhone SE,Desde 489 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
2,iPhone 12,Desde 689 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
3,AirPods(3.ª generación),199 €,es,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271
